Scenario,Answer,Bloom,Group,Prompt,Source / evidence,Sub-Issue (taxonomy),Subject,Task ID,Track
BIZ-10 · Preference / name miss (Liz),"Of course, Liz — let's dive in. Next up…",Understand,Tone & empathy,"Student said: ""call me Liz, not Elizabeth."" Tutor: 'Of course.' Student: ""ok let's go""",Tutor Issue Taxonomy → Tone & empathy / 'Preference handling miss'.,Preference handling miss,Any,BIZ-10,Biz
SWE-08 · Unsignaled mode/instruction shift (CSS edit),"Great. Let's move from reading selectors to writing one. 🛠️ In your styles.css, find the .card rule and add border-radius: 8px; inside its braces. What changes when you save?",Understand,Instructional clarity,"Tutor explained the .card selector. Student: ""makes sense"". Tutor now needs to move to a code edit.",Tutor Issue Taxonomy → Instructional clarity / 'Unsignaled mode/instruction shift'.,Unsignaled mode/instruction shift,CSS · Selectors,SWE-08,AI SWE
SWE-10 · Preference / name miss (Matt),"Got it, Matt — picking right back up. Here's the next piece…",Understand,Tone & empathy,"Student said: ""call me Matt, not Matthew."" Tutor: 'Sure thing.' Student: ""ok continue""",Tutor Issue Taxonomy → Tone & empathy / 'Preference handling miss'. Maestro rule: adapt to the student; personalization.,Preference handling miss,Any,SWE-10,AI SWE
BIZ-09 · Emotional attunement miss (feels behind),That feeling of being behind is real — and honestly common; plenty of strong founders started with zero business background. 💛 You don't need to catch up to anyone. Let's go step by step — which concept feels the fuzziest right now?,Understand,Tone & empathy,"Student: ""I don't have any business background and everyone in my cohort seems to get this instantly — I feel really behind.""",Tutor Issue Taxonomy → Tone & empathy / 'Emotional attunement miss'.,Emotional attunement miss (ignores distress cue),Any,BIZ-09,Biz
SWE-03 · Challenge answer leak (do-while),No spoilers in challenge mode 🙂 — here's a nudge: most loops check the condition before the first run. Which one flips that and checks after? Picture where the condition sits — top or bottom?,Understand,Tutor accuracy,"[challenge mode] Tutor asked: 'Which loop runs its body at least once before checking the condition?' Student: ""hint pls?""",Tutor Issue Taxonomy → Tutor accuracy / 'Challenge format broken'. Maestro rule: challenge integrity — do not leak answers.,Challenge format broken,JavaScript · Loops,SWE-03,AI SWE
BIZ-02 · Tutor factual/math error (gross margin),"Gross margin is profit over revenue: (50 − 40) / 50 = 20%. The price is the denominator, not the cost — that's the part people slip on. Want to try it if the price rose to $60?",Apply,Tutor accuracy,"Student: ""costs $40 to make, sells at $50 — what's the gross margin %?""",Tutor Issue Taxonomy → Tutor accuracy / 'Tutor factual/math error'.,Tutor factual/math error,Unit economics · Gross margin,BIZ-02,Biz
BIZ-01 · Validated wrong work (SOM = SAM),"Solid TAM and SAM. 🎯 But let's stress-test the SOM — you've set it equal to your entire SAM, which means capturing 100% of the serviceable market in year one. Who else is competing for those customers, and what share could you realistically win first?",Evaluate,Tutor accuracy,"Mastery: SOM must be a realistic subset of SAM (SOM < SAM). Student (canvas): ""TAM = $2B. SAM = $400M. SOM = $400M — basically the whole serviceable market.""",Tutor Issue Taxonomy → Tutor accuracy / 'Tutor validated wrong work'.,Tutor validated wrong work,Market Sizing · TAM/SAM/SOM,BIZ-01,Biz
SWE-06 · Scaffolding gap (recursion),Fair point — let me show you the shape first. 👇 A recursive factorial has two lines: a base case (factorial(1) returns 1) and a recursive step (factorial(n) returns n * factorial(n-1)). So factorial(3) unrolls to 3 * 2 * 1. Now you try — write the base case first?,Apply,Pacing & scaffolding,"Tutor gave only a definition of recursion, then asked the student to write recursive factorial(n). Student: ""how would I know how to do that if you never showed me one?""",Tutor Issue Taxonomy → Pacing & scaffolding / 'Scaffolding gap (too fast to independent)'.,Scaffolding gap (too fast to independent),Python · Recursion,SWE-06,AI SWE
SWE-02 · Tutor factual/math error (// and %),17 // 5 is 3 — integer division drops the remainder. 17 % 5 is 2 — that's the leftover after fitting three 5s into 17. Want to try 17 // 4 to lock it in?,Apply,Tutor accuracy,"Student: ""what do 17 // 5 and 17 % 5 give in Python?""",Tutor Issue Taxonomy → Tutor accuracy / 'Tutor factual/math error'. Maestro rule: 'Never make up information or guess an answer.',Tutor factual/math error,Python · Operators,SWE-02,AI SWE
SWE-07 · Placeholder syntax (runnable one-liner),"print(""Hello, world!"") — paste that and run it, then tell me what prints. 🎯",Apply,Instructional clarity,"Student: ""give me a one-liner I can paste and run.""",Tutor Issue Taxonomy → Instructional clarity / 'Placeholder syntax confusion'.,Placeholder syntax confusion,Python · Basics,SWE-07,AI SWE
